Yarn ID,Discontinued,Grams,Machine Washable,Average Rating,Yardage,Yarn Weight
122946,False,100.0,True,4.92,465.0,Light Fingering
99388,False,141.0,True,4.59,530.0,Fingering
52710,True,115.0,False,4.54,375.0,Fingering
142078,False,100.0,True,4.84,400.0,Fingering
108763,False,50.0,False,4.51,328.0,Lace
111247,False,100.0,True,4.76,225.0,DK
90320,False,100.0,True,4.87,460.0,Fingering
138810,False,100.0,True,4.53,437.0,Fingering
145482,False,100.0,True,4.76,463.0,Light Fingering
25918,False,454.0,False,4.73,750.0,Bulky
74331,False,100.0,True,4.7,460.0,Light Fingering
59922,True,100.0,True,4.82,400.0,Fingering
136627,False,180.0,True,4.76,900.0,Light Fingering
62194,False,50.0,True,4.75,200.0,Fingering
79905,False,100.0,True,4.74,464.0,Light Fingering
92676,False,75.0,False,4.69,256.0,Sport
134091,False,115.0,True,4.84,420.0,Fingering
73900,False,100.0,True,4.99,215.0,Worsted
56953,True,114.0,True,4.33,490.0,Light Fingering
62791,False,100.0,True,4.89,437.0,Fingering
142782,False,100.0,True,4.98,460.0,Light Fingering
112197,False,100.0,True,4.72,460.0,Light Fingering
141644,False,113.0,False,4.65,430.0,Fingering
101663,False,100.0,True,4.9,437.0,Fingering
138138,False,100.0,False,4.9,438.0,Fingering
129032,False,113.0,False,4.86,430.0,Fingering
67130,False,100.0,False,4.8,437.0,Fingering
94342,True,100.0,False,4.48,437.0,Fingering
136521,True,100.0,True,4.9,465.0,Fingering
